Template_Index,Template_Date,Template_HomeTeam,Template_AwayTeam,Template_HomeGoals,Template_AwayGoals,Template_Result,Found_Date,Found_HomeTeam,Found_AwayTeam,Found_HomeGoals,Found_AwayGoals,Home_xG,Away_xG,Home_xpts,Away_xpts,Match_Confidence,Away_Team_Switched,Expected_Away_Team,Found_Away_Team,Score_Match,Notes
196,01.01.2015,QPR,Swansea,1,1,D,2015-01-01,Queens Park Rangers,Swansea,1,1,3.16214,1.69725,2.3069,0.5318,1.0,False,Swansea,Swansea,True,
197,01.01.2015,Southampton,Arsenal,2,0,H,2015-01-01,Southampton,Arsenal,2,0,2.41442,0.849285,2.4638,0.3731,1.0,False,Arsenal,Arsenal,True,
653,01.03.2016,Sunderland,Crystal Palace,2,2,D,2016-03-01,Sunderland,Crystal Palace,2,2,0.93375,0.887448,1.3827,1.2891,1.0,False,Crystal Palace,Crystal Palace,True,
826,01.10.2016,West Ham,Middlesbrough,1,1,D,2016-10-01,West Ham,Middlesbrough,1,1,0.883385,0.852603,1.3475,1.3076,1.0,False,Middlesbrough,Middlesbrough,True,
1652,01.12.2018,Crystal Palace,Burnley,2,0,H,2018-12-01,Crystal Palace,Burnley,2,0,2.03785,0.302477,2.5617,0.2739,1.0,False,Burnley,Burnley,True,
273,04.03.2015,Man City,Leicester,2,0,H,2015-03-04,Manchester City,Leicester,2,0,2.91599,0.217043,2.9161,0.0496,1.0,False,Leicester,Leicester,True,
613,02.02.2016,Leicester,Liverpool,2,0,H,2016-02-02,Leicester,Liverpool,2,0,1.34566,0.580791,2.071,0.658,1.0,False,Liverpool,Liverpool,True,
1838,03.04.2019,Man City,Cardiff,2,0,H,2019-04-03,Manchester City,Cardiff,2,0,3.53913,0.135788,2.9629,0.0205,1.0,False,Cardiff,Cardiff,True,
689,02.04.2016,Stoke,Swansea,2,2,D,2016-04-02,Stoke,Swansea,2,2,1.17598,0.4319,2.0941,0.6169,1.0,False,Swansea,Swansea,True,
1245,04.11.2017,Swansea,Brighton,0,1,A,2017-11-04,Swansea,Brighton,0,1,1.24557,0.874927,1.6679,0.974,1.0,False,Brighton,Brighton,True,
1664,04.12.2018,West Ham,Cardiff,3,1,H,2018-12-04,West Ham,Cardiff,3,1,1.57488,1.93448,1.011,1.7280000000000002,1.0,False,Cardiff,Cardiff,True,
1243,04.11.2017,Southampton,Burnley,0,1,A,2017-11-04,Southampton,Burnley,0,1,0.789259,0.137743,1.9682,0.6065,1.0,False,Burnley,Burnley,True,
63,04.10.2014,Leicester,Burnley,2,2,D,2014-10-04,Leicester,Burnley,2,2,1.57773,0.957718,1.8726,0.8319,1.0,False,Burnley,Burnley,True,
1055,04.04.2017,Leicester,Sunderland,2,0,H,2017-04-04,Leicester,Sunderland,2,0,0.929134,0.7012,1.5353,1.1174,1.0,False,Sunderland,Sunderland,True,
305,04.04.2015,Swansea,Hull,3,1,H,2015-04-04,Swansea,Hull,3,1,1.49943,0.919329,1.8327,0.8685,1.0,False,Hull,Hull,True,
1388,31.01.2018,Southampton,Brighton,1,1,D,2018-01-31,Southampton,Brighton,1,1,1.27393,1.07907,1.4495,1.2185,1.0,False,Brighton,Brighton,True,
227,31.01.2015,Sunderland,Burnley,2,0,H,2015-01-31,Sunderland,Burnley,2,0,1.89994,1.34786,1.8754,0.859,1.0,False,Burnley,Burnley,True,
1346,30.12.2017,Newcastle,Brighton,0,0,D,2017-12-30,Newcastle United,Brighton,0,0,0.504379,0.630058,1.1258,1.4476999999999998,1.0,False,Brighton,Brighton,True,
1827,30.03.2019,Crystal Palace,Huddersfield,2,0,H,2019-03-30,Crystal Palace,Huddersfield,2,0,2.84701,0.926991,2.5976,0.2885,1.0,False,Huddersfield,Huddersfield,True,
1712,29.12.2018,Fulham,Huddersfield,1,0,H,2018-12-29,Fulham,Huddersfield,1,0,1.72386,0.276791,2.5821,0.2655,1.0,False,Huddersfield,Huddersfield,True,
932,26.12.2016,Burnley,Middlesbrough,1,0,H,2016-12-26,Burnley,Middlesbrough,1,0,0.275704,0.698814,0.8097000000000001,1.7597999999999998,1.0,False,Middlesbrough,Middlesbrough,True,
2044,04.12.2019,Leicester,Watford,2,0,H,2019-12-04,Leicester,Watford,2,0,2.28735,0.199733,2.8303000000000003,0.0991,1.0,False,Watford,Watford,True,
2046,04.12.2019,Southampton,Norwich,2,1,H,2019-12-04,Southampton,Norwich,2,1,2.00232,0.896647,2.2681,0.523,1.0,False,Norwich,Norwich,True,
1106,06.05.2017,Bournemouth,Stoke,2,2,D,2017-05-06,Bournemouth,Stoke,2,2,1.30668,2.3019,0.6498,2.1336,1.0,False,Stoke,Stoke,True,
659,05.03.2016,Chelsea,Stoke,1,1,D,2016-03-05,Chelsea,Stoke,1,1,1.0615,1.60285,0.9481,1.7941,1.0,False,Stoke,Stoke,True,
1496,05.05.2018,Bournemouth,Swansea,1,0,H,2018-05-05,Bournemouth,Swansea,1,0,1.69618,1.0138,1.9364,0.806,1.0,False,Swansea,Swansea,True,
864,05.11.2016,Man City,Middlesbrough,1,1,D,2016-11-05,Manchester City,Middlesbrough,1,1,2.49606,0.208762,2.817,0.1086,1.0,False,Middlesbrough,Middlesbrough,True,
628,06.02.2016,Tottenham,Watford,1,0,H,2016-02-06,Tottenham,Watford,1,0,2.00475,0.149839,2.6976,0.1760999999999999,1.0,False,Watford,Watford,True,
233,07.02.2015,Leicester,Crystal Palace,0,1,A,2015-02-07,Leicester,Crystal Palace,0,1,0.7797,1.00613,1.1383,1.5340000000000005,1.0,False,Crystal Palace,Crystal Palace,True,
147,06.12.2014,Tottenham,Crystal Palace,0,0,D,2014-12-06,Tottenham,Crystal Palace,0,0,0.958788,1.17369,1.1708999999999998,1.5098999999999998,1.0,False,Crystal Palace,Crystal Palace,True,
142,06.12.2014,Liverpool,Sunderland,0,0,D,2014-12-06,Liverpool,Sunderland,0,0,0.663875,0.268395,1.7084,0.8378,1.0,False,Sunderland,Sunderland,True,
1777,09.02.2019,Southampton,Cardiff,1,2,A,2019-02-09,Southampton,Cardiff,1,2,1.70666,0.980673,2.0587,0.6412,1.0,False,Cardiff,Cardiff,True,
101,08.11.2014,Burnley,Hull,1,0,H,2014-11-08,Burnley,Hull,1,0,1.10315,0.526656,1.8499,0.8296,1.0,False,Hull,Hull,True,
1671,08.12.2018,Arsenal,Huddersfield,1,0,H,2018-12-08,Arsenal,Huddersfield,1,0,2.02156,0.308361,2.6395,0.2287,1.0,False,Huddersfield,Huddersfield,True,
234,07.02.2015,Man City,Hull,1,1,D,2015-02-07,Manchester City,Hull,1,1,0.992526,1.13348,1.1758,1.5181000000000002,1.0,False,Hull,Hull,True,
2180,07.03.2020,Arsenal,West Ham,1,0,H,2020-03-07,Arsenal,West Ham,1,0,1.55974,1.61615,1.3209,1.3869,1.0,False,West Ham,West Ham,True,
2181,07.03.2020,Crystal Palace,Watford,1,0,H,2020-03-07,Crystal Palace,Watford,1,0,0.856107,0.449161,1.7397,0.8918999999999999,1.0,False,Watford,Watford,True,
1456,07.04.2018,Brighton,Huddersfield,1,1,D,2018-04-07,Brighton,Huddersfield,1,1,1.53244,1.48964,1.3757,1.3322,1.0,False,Huddersfield,Huddersfield,True,
1461,07.04.2018,Watford,Burnley,1,2,A,2018-04-07,Watford,Burnley,1,2,1.36685,1.38319,1.3159,1.3903,1.0,False,Burnley,Burnley,True,
1291,09.12.2017,Burnley,Watford,1,0,H,2017-12-09,Burnley,Watford,1,0,0.485632,0.819233,0.9488,1.6745,1.0,False,Watford,Watford,True,
698,09.04.2016,Swansea,Chelsea,1,0,H,2016-04-09,Swansea,Chelsea,1,0,1.9071,1.3003,1.8406,0.8935,1.0,False,Chelsea,Chelsea,True,
1673,08.12.2018,Burnley,Brighton,1,0,H,2018-12-08,Burnley,Brighton,1,0,1.81251,0.951507,2.0648,0.6956,1.0,False,Brighton,Brighton,True,
1145,12.08.2017,Everton,Stoke,1,0,H,2017-08-12,Everton,Stoke,1,0,0.720574,0.27644,1.7647,0.808,1.0,False,Stoke,Stoke,True,
1735,12.01.2019,Crystal Palace,Watford,1,2,A,2019-01-12,Crystal Palace,Watford,1,2,1.1617,1.56262,1.0533,1.6824,1.0,False,Watford,Watford,True,
910,11.12.2016,Southampton,Middlesbrough,1,0,H,2016-12-11,Southampton,Middlesbrough,1,0,1.72919,0.493941,2.4456999999999995,0.3469,1.0,False,Middlesbrough,Middlesbrough,True,
