date;home_team;away_team;home_goals;away_goals;home_xG;away_xG;home_xpts;away_xpts;year;match_index
21.02.2015 15:00;Aston Villa;Arsenal;1;2;0.234004;2.08054;0.3713;1.241;2014;2015-02-21_Aston Villa_vs_Arsenal
24.05.2015 15:00;Aston Villa;Tottenham;0;1;0.654751;1.39049;1.2611;1.9828;2014;2015-05-24_Aston Villa_vs_Tottenham
10.01.2015 15:00;Everton;West Ham;1;1;0.95041;0.731228;0.8880999999999999;0.6996;2014;2015-01-10_Everton_vs_West Ham
15.03.2015 16:00;Everton;Tottenham;3;0;2.25807;0.206431;2.4509;0.5298;2014;2015-03-15_Everton_vs_Tottenham
27.09.2014 15:00;Southampton;West Ham;2;1;2.34463;1.27452;2.6530000000000005;2.0207;2014;2014-09-27_Southampton_vs_West Ham
01.01.2015 15:00;Southampton;Everton;2;0;2.41442;0.957698;2.4638;0.6689;2014;2015-01-01_Southampton_vs_Everton
04.10.2014 15:00;Leicester;Newcastle;2;2;1.57773;1.18603;1.8726;1.076;2014;2014-10-04_Leicester_vs_Newcastle
01.11.2014 15:00;Leicester;Southampton;0;1;1.41001;1.90484;2.1103;2.6974;2014;2014-11-01_Leicester_vs_Southampton
07.02.2015 15:00;Leicester;Southampton;0;1;0.7797;0.963892;1.1383;1.2779;2014;2015-02-07_Leicester_vs_Southampton
16.08.2014 15:00;West Brom;Everton;2;2;1.68343;0.613273;2.0358;0.7617;2014;2014-08-16_West Brom_vs_Everton
26.12.2014 15:00;West Brom;Southampton;1;3;2.64442;1.30288;1.7505;2.1896;2014;2014-12-26_West Brom_vs_Southampton
10.01.2015 15:00;West Brom;Aston Villa;1;0;0.784159;0.606149;1.7271;0.2633;2014;2015-01-10_West Brom_vs_Aston Villa
28.02.2015 15:00;West Brom;Aston Villa;1;0;1.08916;0.773437;1.8493;1.1585;2014;2015-02-28_West Brom_vs_Aston Villa
25.04.2015 15:00;West Brom;West Ham;0;0;0.507754;0.824309;0.5573;0.3728;2014;2015-04-25_West Brom_vs_West Ham
26.12.2014 15:00;Sunderland;Southampton;1;3;1.35551;1.30288;1.8049;2.1896;2014;2014-12-26_Sunderland_vs_Southampton
31.01.2015 15:00;Sunderland;West Ham;2;0;1.89994;0.383092;1.8754;0.2304999999999999;2014;2015-01-31_Sunderland_vs_West Ham
